codigo,nombre,descripcion,categoria,subcategoria,estado,tipoMadera,largo,ancho,alto,unidadMedida,costo,precioPorPie,ubicacion
1400,TABLAS 1/2 X 6 X 4,nada,Maderas,Tabla,Activo,Saligna,4,"0,5",6,Pie,420,700,1
1401,TABLAS 1/2 X 6 X 3 ,nada,Maderas,Tabla,Activo,Saligna,3,"0,5",6,Pie,420,700,1
1402,TABALAS 1” X 4 X 3,nada,Maderas,Tabla,Activo,Saligna,3,1,4,Pie,353,700,1
1403,TABALAS 1” X4 X 4,nada,Maderas,Tabla,Activo,Saligna,4,1,4,Pie,353,700,1
1404,TABLAS 1” X 5 X 3 ,nada,Maderas,Tabla,Activo,Saligna,3,1,5,Pie,353,700,1
1405,TABLAS 1 X 5 X 4,nada,Maderas,Tabla,Activo,Saligna,4,1,5,Pie,353,700,1
1406,TABALAS 1 X 6 X 3,nada,Maderas,Tabla,Activo,Saligna,3,1,6,Pie,353,700,1
1407,TABLAS 1 X 6 X 4,nada,Maderas,Tabla,Activo,Saligna,4,1,6,Pie,353,700,1
1408,TABLAS 1 X 8 X 3,nada,Maderas,Tabla,Activo,Saligna,8,1,8,Pie,420,700,1
1409,TABLAS 1 X 8 X 4,nada,Maderas,Tabla,Activo,Saligna,4,1,8,Pie,420,700,1
1410,"CLAVADERAS 2"" X 2 X 3",nada,Maderas,liston,Activo,Saligna,3,2,2,Pie,420,700,1
1411,CLAVADERA 2 X 2 X 4 ,nada,Maderas,liston,Activo,Saligna,4,2,2,Pie,420,700,1
1412,"PUNTALES DE 3"" X 3” X 3 ",nada,Maderas,POSTE,Activo,Saligna,3,3,3,Pie,386,700,1
1413,"PUNTALES DE 3"" X 3” X 4 ",nada,Maderas,POSTE,Activo,Saligna,4,3,3,Pie,386,700,1
1414,PUNTALES 4 X 4 X 3,nada,Maderas,POSTE,Activo,Saligna,3,4,4,Pie,386,700,1
1415,PUNTALES 4 X 4 X 4 ,nada,Maderas,POSTE,Activo,Saligna,4,4,4,Pie,386,700,1
1416,TIRANTE 2 X 4 X 3,nada,Maderas,TIRANTE,Activo,Saligna,3,2,4,Pie,386,700,1
1417,TIRANTE 2 X 4 X 4,nada,Maderas,TIRANTE,Activo,Saligna,4,2,4,Pie,386,700,1
1418,TIRANTE 2 X 5 X 3 ,nada,Maderas,TIRANTE,Activo,Saligna,3,2,5,Pie,386,700,1
1419,TIRANTE 2 X 5 X 4 ,nada,Maderas,TIRANTE,Activo,Saligna,4,2,5,Pie,386,700,1
1420,TIRANTE 2 X 6 X 3 ,nada,Maderas,TIRANTE,Activo,Saligna,3,2,6,Pie,386,700,1
1421,TIRANTE 2 X 6 X 4 ,nada,Maderas,TIRANTE,Activo,Saligna,4,2,6,Pie,386,700,1
1422,"LISTONES 1"" X 2” X 3”",nada,Maderas,liston,Activo,Saligna,3,1,2,Pie,420,1,1
1423,LISTON 1 X 2 X 4,nada,Maderas,liston,Activo,Saligna,4,1,2,Pie,420,1,1
1589,TIRANTE 2 X 4 X 3 ,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,3,2,4,Pie,1300,2300,1
1590,TIRANTE 2 X 4 X 4,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,4,2,4,Pie,1300,2300,1
1591,TIRANTE 2 X 5 X 3 ,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,3,2,5,Pie,1300,2300,1
1592,TIRANTE 2 X 5 X 4,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,4,2,5,Pie,1300,2300,1
1593,TIRANTE 2 X 6 X 3,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,3,2,6,Pie,1300,2300,1
1594,TIRANTE 2 X 6 X 4,nada,Maderas,TIRANTE,Activo,Rostrata/Eucalipto colorado,4,2,6,Pie,1300,2300,1
1595,TABLA 1 X 4 X 4,nada,Maderas,Tabla,Activo,Rostrata/Eucalipto colorado,4,1,4,Pie,1300,2300,1
1596,TABLA 1 X 4 X 3,nada,Maderas,Tabla,Activo,Rostrata/Eucalipto colorado,3,1,4,Pie,1300,2300,1
